戦略: S1 バランス効率型
run  開始      周回時間   ノルマ維持  帯域Y      維持判定 最高層 討伐 金  総クッキー     PT  スキル数  前周比
  0      0m0s     54m1s      1m3s    26m51s  短い      2    1  53       4.42e+6     17    1   -  core
  1     54m1s   1h1m29s    13m59s    28m10s  短い      4   25  83       6.45e+9     30    1   1459.15  click_1
  2  1h55m30s  1h19m26s    14m40s    29m24s  短い      6   26 145      3.40e+12     48    1   527.08  golden_1
  3  3h14m56s  1h47m26s    15m19s    30m44s  短い      6   27 309      2.21e+15     78    1   648.22  monster_1
  4   5h2m22s  2h24m46s     16m2s    32m11s  短い      6   42 489      6.87e+17    120    1   311.75  auto_1
  5   7h27m8s   2h0m47s    16m53s    33m14s  OK      8   46 406      3.66e+20    192    1   532.62  economy_1
  6  9h27m55s  2h20m27s    17m25s    34m18s  OK      9   47 475      1.40e+23    300    1   381.76  click_2
  7  11h48m22s  2h32m24s     18m0s    35m22s  OK     11   48 674      6.20e+25    474    1   443.65  golden_2
  8  14h20m46s   3h7m25s    18m33s    36m32s  OK     12   50 836      2.81e+28    750    1   453.59  monster_2
  9  17h28m11s   4h8m55s    19m10s    37m57s  OK     12   53 1208      1.13e+31   1176    1   403.10  auto_2
 10  21h37m6s   3h8m12s    19m59s    38m56s  OK     16   55 680      3.30e+33   1800    3   291.31  economy_2,economy_analysis,order_board
 11  24h45m18s  3h16m40s    20m30s    39m53s  OK     18   56 1026      1.74e+36   2880    1   527.54  mastery_low
 12  28h1m58s    2h2m0s     21m5s    40m27s  OK     19   57 620      6.72e+38   4502    1   385.56  click_3
 13  30h3m58s   2h1m49s    21m24s     41m0s  OK     20   60 456      2.81e+41   7080    1   418.59  upgrade_moon
 14  32h5m47s     55m1s    25m28s    41m14s  OK     33  119 309      1.13e+44  11103    2   402.97  auto_3,bake_temperature
 15  33h0m48s    38m17s    27m27s    41m24s  OK     44  207 336      3.25e+46  16974    1   286.87  research_1
 16  33h39m5s     41m8s     25m6s    41m35s  OK     42  177 347      1.66e+49  27095    2   510.61  research_remodel,research_analysis
 17  34h20m13s    44m42s    25m46s    41m46s  OK     42  183 448      6.95e+51  42615    1   418.93  golden_3
 18  35h4m55s    38m27s    38m27s    41m56s  OK     68  484 395      2.68e+54  66612    2   385.97  upgrade_time,golden_analysis
 19  35h43m22s    36m16s    36m16s     42m5s  OK     71  475 358      1.38e+57  106358    1   512.34  monster_3
 20  36h19m38s    37m35s    37m35s    42m14s  OK     79  560 424      4.01e+63  324780    2   2912398.49  auto_4,hunt_analysis
 21  36h57m13s     23m9s     23m9s    42m20s  OK     89  552 284      2.89e+71  1261669    2   72123026.73  click_4,offline_1
 22  37h20m22s    20m55s    20m55s    42m25s  短い     98  564 270      2.63e+79  4988272    1   91214096.19  upgrade_galaxy
 23  37h41m17s    22m49s    22m49s    42m31s  OK    106  642 314      3.72e+85  14426766    1   1411187.89  mastery_high
 24   38h4m6s    25m11s    25m11s    42m37s  OK    113  729 384      3.82e+91  40740473    1   1026662.54  golden_4
 25  38h29m17s    24m52s    24m52s    42m43s  OK    120  755 558      2.02e+97  109475631    3   529523.42  monster_4,start_1,start_2
 26  38h54m9s    27m59s    27m59s    42m49s  OK    129  875 650     2.53e+104  372947716    4   12523908.37  upgrade_blackhole,reward_1,reward_synergy,reward_choice_2
 27  39h22m8s    26m26s    26m26s    42m56s  OK    132  829 590     2.37e+107  622954384    1   934.93  unlock_reward_crackedFang
 28  39h48m34s    25m43s    25m43s     43m2s  OK    136  799 592     8.91e+109  971960529    1   376.62  unlock_reward_goldenChain
 29  40h14m17s    26m35s    26m35s     43m8s  OK    139  881 624     3.62e+112  1525112126    1   406.17  upgrade_universe
 30  40h40m52s     28m3s     28m3s    43m15s  OK    142  936 676     3.26e+115  2540003197    1   899.01  unlock_reward_chainPrep
 31  41h8m55s     30m3s     30m3s    43m22s  OK    146  972 738     1.72e+118  4064719322    1   527.98  unlock_reward_huntFocus
 32  41h38m58s    31m24s    31m24s    43m29s  OK    149 1070 752     6.14e+120  6316754944    1   357.15  upgrade_godfinger
 33  42h10m22s    22m19s    22m19s    43m34s  OK    152  752 488     3.25e+123  10110743818    1   529.49  unlock_reward_goldenTarget
 34  42h32m41s    22m32s    22m32s    43m39s  OK    155  748 500     1.23e+126  15780800966    1   378.40  upgrade_singularity
 35  42h55m13s    20m10s    20m10s    43m44s  短い    159  679 444     5.48e+128  24933966653    1   445.48  unlock_reward_goldenFirstHit
 36  43h15m23s     21m4s     21m4s    43m49s  短い    162  729 488     2.80e+131  39804594856    1   511.16  unlock_reward_beastScent
 37  43h36m27s    21m26s    21m26s    43m54s  短い    165  724 460     9.32e+133  61530210187    1   332.71  reward_2
 38  43h57m53s    21m19s    21m19s    43m58s  短い    168  722 448     4.93e+136  98484778083    1   529.35  upgrade_quantum
 39  44h19m12s     22m2s     22m2s     44m3s  OK    171  747 460     1.16e+139  148312486950    1   234.85  unlock_reward_biteRecovery
 40  44h41m14s    22m26s    22m26s     44m8s  OK    174  757 497     4.05e+141  230117071224    1   349.64  unlock_reward_beastHeatFerment
 41  45h3m40s     20m7s     20m7s    44m13s  短い    178  675 151     1.22e+145  419513167351    1   3001.17  unlock_reward_huntingCore
 42  45h23m47s    17m34s    17m34s    44m17s  短い    181  587 260     1.53e+147  602851420758    1   125.76  upgrade_antimatter
 43  45h41m21s    18m38s    18m38s    44m21s  短い    184  621 296     5.14e+149  932687224662    1   336.52  unlock_reward_brandHunt
 44  45h59m59s    18m48s    18m48s    44m25s  短い    186  631 252     1.06e+152  1390403792922    1   205.15  unlock_reward_crushedMill
 45  46h18m47s     18m9s     18m9s    44m29s  短い    187  602 232     2.41e+155  2483098985181    1   2280.56  unlock_reward_deepPursuit
 46  46h36m56s    18m29s    18m29s    44m33s  短い    192  621 256     8.40e+157  3852256850982    1   349.10  unlock_reward_goldenBeastMutation
 47  46h55m25s    18m40s    18m40s    44m37s  短い    196  624 298     8.78e+159  5459305029133    1   104.46  master_final
 48  47h14m5s  52h45m55s     33m4s     54m0s  -     247 1185 94724     1.91e+206  16311644892157294    0   2.178405058691892e+46 (途中)  
合計: 1.91e+206 / 100倍達成 47/47 / PT2-100倍 47/47 / ペース 27/92
