run 0 dur=60.0m stage=4 kills=12 golden=86 huntInv=4 goldInv=8 res2=[] inc(設34/金10/討4/タ52) skills+1=core
run 1 dur=68.1m stage=4 kills=33 golden=237 huntInv=14 goldInv=27 res2=[] inc(設35/金30/討4/タ31) skills+1=click_1
run 2 dur=46.4m stage=15 kills=85 golden=339 huntInv=65 goldInv=88 res2=[] inc(設23/金39/討9/タ29) skills+1=golden_1
run 3 dur=60.0m stage=12 kills=65 golden=745 huntInv=37 goldInv=60 res2=[] inc(設16/金57/討6/タ20) skills+1=monster_1
run 4 dur=51.7m stage=20 kills=129 golden=883 huntInv=104 goldInv=140 res2=[] inc(設12/金60/討8/タ19) skills+1=auto_1
run 5 dur=41.9m stage=24 kills=117 golden=691 huntInv=81 goldInv=146 res2=[] inc(設14/金61/討8/タ17) skills+1=economy_1
run 6 dur=47.7m stage=19 kills=89 golden=785 huntInv=52 goldInv=77 res2=[] inc(設18/金60/討9/タ14) skills+1=click_2
run 7 dur=43.9m stage=25 kills=111 golden=753 huntInv=83 goldInv=143 res2=[spiceBlend] inc(設18/金59/討9/タ14) skills+1=golden_2
run 8 dur=45.9m stage=24 kills=99 golden=761 huntInv=70 goldInv=91 res2=[fingerTechnique,spiceBlend] inc(設19/金59/討9/タ13) skills+1=monster_2
run 9 dur=47.6m stage=26 kills=109 golden=867 huntInv=73 goldInv=122 res2=[fingerTechnique,spiceBlend] inc(設17/金62/討8/タ13) skills+1=economy_2
run10 dur=44.2m stage=30 kills=119 golden=675 huntInv=91 goldInv=132 res2=[fingerTechnique,spiceBlend] inc(設21/金57/討9/タ12) skills+1=auto_2
run11 dur=38.0m stage=38 kills=135 golden=605 huntInv=94 goldInv=163 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設21/金57/討10/タ12) skills+3=mastery_low+economy_analysis+order_board
run12 dur=38.7m stage=33 kills=103 golden=575 huntInv=64 goldInv=85 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設24/金51/討12/タ13) skills+1=click_3
run13 dur=35.8m stage=40 kills=123 golden=562 huntInv=72 goldInv=129 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設20/金48/討12/タ20) skills+1=upgrade_moon
run14 dur=26.6m stage=53 kills=153 golden=290 huntInv=99 goldInv=137 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設26/金34/討16/タ24) skills+2=auto_3+bake_temperature
run15 dur=21.0m stage=51 kills=115 golden=253 huntInv=67 goldInv=110 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設26/金35/討16/タ23) skills+1=research_1
run16 dur=23.9m stage=37 kills=69 golden=203 huntInv=36 goldInv=48 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設31/金26/討19/タ24) skills+2=research_remodel+research_analysis
run17 dur=23.2m stage=46 kills=93 golden=325 huntInv=49 goldInv=89 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設29/金34/討16/タ21) skills+1=golden_3
run18 dur=22.5m stage=48 kills=96 golden=295 huntInv=53 goldInv=81 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設29/金37/討15/タ19) skills+2=upgrade_time+golden_analysis
run19 dur=21.9m stage=49 kills=90 golden=273 huntInv=55 goldInv=68 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend,moonGlobalYeast] inc(設32/金35/討15/タ19) skills+1=monster_3
run20 dur=23.9m stage=48 kills=87 golden=336 huntInv=48 goldInv=70 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend,moonGlobalYeast] inc(設34/金33/討16/タ18) skills+2=auto_4+hunt_analysis
