run 0 dur=61.4m stage=4 kills=12 golden=88 huntInv=4 goldInv=8 res2=[] inc(設35/金8/討4/タ53) skills+1=core
run 1 dur=72.1m stage=4 kills=30 golden=240 huntInv=13 goldInv=25 res2=[] inc(設39/金26/討4/タ31) skills+1=click_1
run 2 dur=46.0m stage=15 kills=85 golden=440 huntInv=63 goldInv=107 res2=[] inc(設21/金41/討9/タ30) skills+1=golden_1
run 3 dur=80.1m stage=10 kills=64 golden=871 huntInv=38 goldInv=51 res2=[] inc(設22/金55/討5/タ18) skills+1=monster_1
run 4 dur=51.7m stage=22 kills=152 golden=889 huntInv=137 goldInv=198 res2=[] inc(設14/金57/討9/タ20) skills+1=auto_1
run 5 dur=46.7m stage=22 kills=111 golden=793 huntInv=82 goldInv=126 res2=[] inc(設16/金58/討9/タ16) skills+1=economy_1
run 6 dur=47.5m stage=22 kills=100 golden=874 huntInv=72 goldInv=106 res2=[] inc(設17/金62/討8/タ13) skills+1=click_2
run 7 dur=46.5m stage=24 kills=108 golden=828 huntInv=78 goldInv=135 res2=[spiceBlend] inc(設20/金56/討10/タ14) skills+1=golden_2
run 8 dur=47.0m stage=25 kills=108 golden=822 huntInv=71 goldInv=122 res2=[fingerTechnique,spiceBlend] inc(設19/金58/討9/タ13) skills+1=monster_2
run 9 dur=50.6m stage=25 kills=110 golden=932 huntInv=71 goldInv=123 res2=[fingerTechnique,spiceBlend] inc(設19/金59/討9/タ13) skills+1=economy_2
run10 dur=44.2m stage=33 kills=135 golden=724 huntInv=104 goldInv=172 res2=[fingerTechnique,spiceBlend] inc(設21/金58/討9/タ12) skills+1=auto_2
run11 dur=41.1m stage=35 kills=125 golden=630 huntInv=94 goldInv=136 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設24/金52/討11/タ13) skills+2=mastery_low+economy_analysis
run12 dur=38.5m stage=37 kills=122 golden=605 huntInv=77 goldInv=122 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設23/金52/討11/タ13) skills+2=click_3+order_board
run13 dur=37.0m stage=38 kills=117 golden=594 huntInv=66 goldInv=129 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設20/金47/討13/タ20) skills+1=upgrade_moon
run14 dur=27.1m stage=55 kills=159 golden=313 huntInv=107 goldInv=156 res2=[fingerTechnique,grandmaCrowd,spiceBlend,bankClickDividend] inc(設25/金35/討16/タ24) skills+2=auto_3+bake_temperature
run15 dur=21.2m stage=52 kills=120 golden=270 huntInv=69 goldInv=111 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設26/金34/討16/タ23) skills+1=research_1
run16 dur=23.0m stage=38 kills=71 golden=325 huntInv=39 goldInv=68 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設28/金32/討17/タ22) skills+2=research_remodel+research_analysis
run17 dur=24.2m stage=42 kills=82 golden=324 huntInv=46 goldInv=68 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設31/金29/討17/タ22) skills+1=golden_3
run18 dur=22.8m stage=49 kills=100 golden=303 huntInv=59 goldInv=87 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend] inc(設28/金37/討15/タ19) skills+2=upgrade_time+golden_analysis
run19 dur=22.0m stage=50 kills=92 golden=286 huntInv=51 goldInv=81 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend,moonGlobalYeast] inc(設30/金36/討15/タ19) skills+1=monster_3
run20 dur=24.1m stage=48 kills=85 golden=348 huntInv=48 goldInv=75 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,bankClickDividend,moonGlobalYeast] inc(設33/金34/討15/タ18) skills+2=auto_4+hunt_analysis
