ID  名称              周回数 総クッキー   100倍達成  PT2倍   解放数 ペース適合 ノルマ帯域 全解放
S1  バランス効率型          57   2.29e+282  55/55   55/55     57  33/56  33/56  17h59m15s  (17155ms)
S2  クリック会心型          57   4.05e+273  55/55   55/55     57  0/56  0/56  64h19m15s  (12564ms)
S3  金クッキー特化型         57   8.56e+270  55/55   55/55     57  9/56  9/56  23h22m29s  (14100ms)
S4  狩猟特化型            57   2.22e+253  55/55   55/55     57  17/56  17/56  13h35m58s  (16028ms)
S5  研究貯蓄型            53   4.01e+226  51/51   51/51     53  26/52  26/52  24h38m5s  (15668ms)
S6  早回し転生型           57   1.12e+267  55/55   55/55     57  23/56  23/56  23h19m0s  (15984ms)
S7  長期育成型            53   1.65e+295  51/51   51/51     53  30/52  30/52  20h24m23s  (16013ms)
S8  最新設備ラッシュ型        57   9.69e+229  55/55   55/55     57  3/56  3/56  80h32m51s  (13017ms)
S9  ノルマ死守型           57   1.70e+283  55/55   55/55     57  22/56  22/56  14h47m2s  (16918ms)
S10 のんびり放置型          41   4.35e+159  39/39   39/39     41  0/40  1/40  未  (6032ms)
