=== ㉘稼ぎ口比率(100h・周回シェア=各tickシェアの周回平均) ===
balanced(S6 早回し転生型) 4つすべて≥10%: 31/49周回 合格
  run 0 対象 設備8% 金55% 討伐11% タップ26% → (a)NG ②改OK
  run 1 対象 設備16% 金52% 討伐11% タップ21% → (a)OK ②改OK
  run 2 対象 設備10% 金21% 討伐21% タップ47% → (a)OK ②改OK
  run 3 対象 設備9% 金37% 討伐17% タップ38% → (a)NG ②改OK
  run 4 対象 設備9% 金49% 討伐13% タップ29% → (a)NG ②改OK
  run 5 対象 設備7% 金55% 討伐15% タップ23% → (a)NG ②改OK
  run 6 対象 設備13% 金46% 討伐16% タップ25% → (a)OK ②改OK
  run 7 対象 設備15% 金53% 討伐14% タップ18% → (a)OK ②改OK
  run 8 対象 設備13% 金48% 討伐15% タップ24% → (a)OK ②改OK
  run 9 対象 設備14% 金57% 討伐11% タップ19% → (a)OK ②改OK
  run10 対象 設備15% 金53% 討伐12% タップ20% → (a)OK ②改OK
  run11 対象 設備15% 金54% 討伐12% タップ19% → (a)OK ②改OK
  run12 対象 設備17% 金49% 討伐12% タップ21% → (a)OK ②改OK
  run13 対象 設備17% 金49% 討伐12% タップ22% → (a)OK ②改OK
  run14 対象 設備19% 金44% 討伐12% タップ25% → (a)OK ②改OK
  run15 対象 設備18% 金44% 討伐12% タップ26% → (a)OK ②改OK
  run16 対象 設備19% 金41% 討伐13% タップ27% → (a)OK ②改OK
  run17 対象 設備19% 金40% 討伐13% タップ29% → (a)OK ②改OK
  run18 対象 設備19% 金38% 討伐12% タップ31% → (a)OK ②改OK
  run19 対象 設備19% 金40% 討伐10% タップ31% → (a)OK ②改OK
  run20 対象 設備19% 金39% 討伐10% タップ31% → (a)OK ②改OK
  run21 対象 設備17% 金33% 討伐21% タップ29% → (a)OK ②改OK
  run22 対象 設備17% 金29% 討伐24% タップ30% → (a)OK ②改OK
  run23 対象 設備16% 金24% 討伐28% タップ31% → (a)OK ②改OK
  run24 対象 設備15% 金25% 討伐28% タップ32% → (a)OK ②改OK
  run25 対象 設備14% 金22% 討伐30% タップ34% → (a)OK ②改OK
  run26 対象 設備14% 金24% 討伐28% タップ34% → (a)OK ②改OK
  run27 対象 設備14% 金22% 討伐28% タップ36% → (a)OK ②改OK
  run28 対象 設備14% 金22% 討伐28% タップ36% → (a)OK ②改OK
  run29 対象 設備14% 金27% 討伐26% タップ33% → (a)OK ②改OK
  run30 対象 設備14% 金26% 討伐27% タップ33% → (a)OK ②改OK
  run31 対象 設備14% 金26% 討伐27% タップ34% → (a)OK ②改OK
  run32 対象 設備16% 金34% 討伐19% タップ31% → (a)OK ②改OK
  run33 対象 設備15% 金38% 討伐19% タップ28% → (a)OK ②改OK
  run34 対象 設備21% 金37% 討伐35% タップ8% → (a)NG ②改OK
  run35 対象 設備21% 金37% 討伐34% タップ8% → (a)NG ②改OK
  run36 対象 設備21% 金34% 討伐37% タップ9% → (a)NG ②改OK
  run37 対象 設備23% 金35% 討伐33% タップ9% → (a)NG ②改OK
  run38 対象 設備20% 金34% 討伐38% タップ8% → (a)NG ②改OK
  run39 対象 設備20% 金35% 討伐36% タップ9% → (a)NG ②改OK
  run40 対象 設備21% 金33% 討伐38% タップ8% → (a)NG ②改OK
  run41 対象 設備22% 金31% 討伐40% タップ7% → (a)NG ②改OK
  run42 対象 設備20% 金31% 討伐41% タップ8% → (a)NG ②改OK
  run43 対象 設備19% 金26% 討伐47% タップ8% → (a)NG ②改OK
  run44 対象 設備19% 金27% 討伐45% タップ9% → (a)NG ②改OK
  run45 対象 設備19% 金29% 討伐43% タップ9% → (a)NG ②改OK
  run46 対象 設備21% 金30% 討伐41% タップ8% → (a)NG ②改OK
  run47 対象 設備19% 金27% 討伐45% タップ9% → (a)NG ②改OK
  run48 対象 設備16% 金27% 討伐45% タップ11% → (a)OK ②改OK
