  run 8 対象 設備10% 金20% 討伐62% タップ8% → (a)NG (b)OK
  run 9 対象 設備11% 金13% 討伐67% タップ9% → (a)NG (b)OK
  run10 対象 設備11% 金11% 討伐71% タップ8% → (a)NG (b)OK
  run11 対象 設備11% 金10% 討伐72% タップ7% → (a)NG (b)OK
  run12 対象 設備10% 金8% 討伐76% タップ6% → (a)NG (b)OK
  run13 対象 設備10% 金7% 討伐72% タップ11% → (a)NG (b)OK
  run14 対象 設備11% 金6% 討伐69% タップ14% → (a)NG (b)OK
  run15 対象 設備10% 金6% 討伐72% タップ13% → (a)NG (b)OK
  run16 対象 設備8% 金5% 討伐75% タップ12% → (a)NG (b)OK
  run17 対象 設備8% 金5% 討伐75% タップ11% → (a)NG (b)OK
  run18 対象 設備7% 金8% 討伐75% タップ9% → (a)NG (b)OK
  run19 対象 設備7% 金8% 討伐76% タップ9% → (a)NG (b)OK
  run20 対象 設備6% 金7% 討伐78% タップ8% → (a)NG (b)OK
  run21 対象 設備1% 金5% 討伐87% タップ8% → (a)NG (b)OK
  run22 対象 設備0% 金3% 討伐91% タップ5% → (a)NG (b)NG
  run23 対象 設備0% 金3% 討伐91% タップ5% → (a)NG (b)NG
  run24 対象 設備0% 金3% 討伐93% タップ4% → (a)NG (b)NG
  run25 対象 設備0% 金2% 討伐95% タップ3% → (a)NG (b)NG
  run26 対象 設備0% 金2% 討伐95% タップ2% → (a)NG (b)NG
  run27 対象 設備0% 金2% 討伐95% タップ2% → (a)NG (b)NG
  run28 対象 設備0% 金2% 討伐95% タップ2% → (a)NG (b)NG
  run29 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run30 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run31 対象 設備0% 金2% 討伐95% タップ2% → (a)NG (b)NG
  run32 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run33 対象 設備0% 金3% 討伐95% タップ3% → (a)NG (b)NG
  run34 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run35 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run36 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run37 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run38 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run39 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run40 対象 設備0% 金2% 討伐96% タップ2% → (a)NG (b)NG
  run41 対象 設備0% 金1% 討伐97% タップ2% → (a)NG (b)NG
  run42 対象 設備0% 金1% 討伐96% タップ3% → (a)NG (b)NG
  run43 対象 設備0% 金1% 討伐96% タップ3% → (a)NG (b)NG
  run44 対象 設備0% 金1% 討伐97% タップ3% → (a)NG (b)NG
  run45 対象 設備0% 金1% 討伐97% タップ3% → (a)NG (b)NG
  run46 対象 設備0% 金1% 討伐97% タップ3% → (a)NG (b)NG
㉘合計: 30/230周回
