戦略: S1 バランス効率型
種別      ID                        各回比[min..max](幾何平均)   必要   下限判定(全回)   ±3倍判定(全回)
research  fingerTechnique            [0.03..21.18] (2.39) x46回  x1.2  NG(min<1.2)
research  grandmaCrowd               [0.23..30.16] (1.69) x46回  x1.2  NG(min<1.2)
research  ovenBatch                  [0.07..11.92] (1.32) x46回  x1.2  NG(min<1.2)
research  factoryNetwork             [0.15..9.23] (1.14) x43回  x1.2  NG(min<1.2)
research  spiceBlend                 [0.03..26.73] (1.26) x43回  x1.2  NG(min<1.2)
research  portalNetwork              [0.14..33.71] (1.62) x43回  x1.2  NG(min<1.2)
research  bankClickDividend          [0.78..1.06] (1.00) x43回  x1.2  NG(min<1.2)
research  moonGlobalYeast            [0.21..25.42] (2.09) x33回  x1.2  NG(min<1.2)
research  portalGlobalFold           [0.30..11.81] (1.92) x43回  x1.2  NG(min<1.2)
research  galaxyAssembly             [0.06..10.23] (1.28) x24回  x1.2  NG(min<1.2)
research  blackHoleCompression       [0.18..5.79] (1.17) x21回  x1.2  NG(min<1.2)
research  quantumProofing            [0.22..7.75] (1.01) x9回  x1.2  NG(min<1.2)
research  antimatterRecipe           [1.01..12.68] (1.94) x5回  x1.2  NG(min<1.2)
研究: 下限(各回)OK 0/13 / ±3倍(各回) 17/46周回
reward    goldenRate                 [0.06..20.86] (1.32) x38回  x1.1  NG(min<1.1)
reward    goldenPower                (未使用: 比=1.0)  x1.1  NG  -
reward    goldenAmount               [0.05..3.24] (1.14) x24回  x1.1  NG(min<1.1)
reward    monsterDamage              [0.97..1.13] (1.01) x42回  x1.1  NG(min<1.1)
reward    monsterRate                [0.07..7.64] (1.21) x18回  x1.1  NG(min<1.1)
reward    monsterStay                (未使用: 比=1.0)  x1.1  NG  -
reward    goldenChain                (未使用: 比=1.0)  x1.1  NG  -
reward    crackedFang                [1.00..1.00] (1.00) x16回  x1.1  NG(min<1.1)
reward    chainPrep                  (未使用: 比=1.0)  x1.1  NG  -
