⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S4 中央値比=507468807.364 (n=8)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=6)
  OK 料理:mintIce               S6 中央値比=1000000000.000 (n=4)
  OK 料理:hunterStew            S4 中央値比=1000000000.000 (n=7)
  OK 料理:frostCake             S8 中央値比=1000000000.000 (n=7)
  OK 料理:stardustParfait       S8 中央値比=1000000000.000 (n=5)
  OK 料理:voidTart              S4 中央値比=1000000000.000 (n=2)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S4 中央値比=1000000000.000 (n=5)
  OK 注文報酬:materials           S8 中央値比=1000000000.000 (n=5)
  OK 注文報酬:boost               S4 中央値比=1000000000.000 (n=4)
㉙ 合計 3/3
新装備(a) 装備lift(取得後全周回の中央値比≥1.5・装備は周回跨ぎで永続)
  OK 装備lift:weapon_t1_v1         中央値比=5.399 (n=5, S9)
  OK 装備lift:shield_t1_v1         中央値比=4.389 (n=7, S8)
  OK 装備lift:shield_t1_v6         中央値比=1142162.028 (n=1, S4)
  OK 装備lift:armorTop_t1_v1       中央値比=4.687 (n=9, S9)
  OK 装備lift:armorBottom_t1_v1    中央値比=3.146 (n=7, S9)
  OK 装備lift:armorBottom_t1_v3    中央値比=3.191 (n=2, S6)
  OK 装備lift:armorBottom_t1_v5    中央値比=4998.165 (n=1, S1)
  OK 装備lift:armorBottom_t1_v6    中央値比=275476212724124909568.000 (n=4, S7)
  OK 装備lift:armorBottom_t1_v7    中央値比=121.339 (n=1, S3)
  OK 装備lift:hands_t1_v1          中央値比=6.620 (n=8, S9)
  OK 装備lift:hands_t1_v4          中央値比=1377756505102.956 (n=1, S8)
  OK 装備lift:hands_t1_v6          中央値比=4998.165 (n=1, S1)
  OK 装備lift:hat_t1_v1            中央値比=1.699 (n=7, S9)
  OK 装備lift:hat_t1_v2            中央値比=3939304753067.879 (n=1, S5)
  OK 装備lift:hat_t1_v3            中央値比=2.755 (n=4, S7)
  OK 装備lift:hat_t1_v4            中央値比=2.0233259173277014e+29 (n=1, S3)
  OK 装備lift:hat_t1_v6            中央値比=2.054 (n=1, S9)
  OK 装備lift:hat_t1_v8            中央値比=2.967 (n=1, S2)
  OK 装備lift:hat_t1_v9            中央値比=121.339 (n=1, S3)
  NG 装備lift:shoes_t1_v1          中央値比=1.210 (n=3, S8)
  OK 装備lift:shoes_t1_v2          中央値比=1142162.028 (n=1, S4)
  OK 装備lift:shoes_t1_v4          中央値比=2.842 (n=1, S6)
  OK 装備lift:shoes_t1_v6          中央値比=1377756505102.956 (n=1, S8)
  OK 装備lift:shoes_t1_v9          中央値比=2.967 (n=1, S2)
  OK 装備lift:accA_t1_v1           中央値比=6.620 (n=6, S9)
  OK 装備lift:accA_t1_v3           中央値比=5.030 (n=1, S4)
  OK 装備lift:accA_t1_v7           中央値比=3.146 (n=1, S1)
  NG 装備lift:accB_t1_v1           中央値比=1.455 (n=6, S9)
  OK 装備lift:accB_t1_v2           中央値比=2.967 (n=1, S2)
  NG 装備lift:accB_t1_v3           中央値比=1.351 (n=1, S6)
  OK 装備lift:accB_t1_v7           中央値比=2.365 (n=1, S7)
  OK 装備lift:accB_t1_v8           中央値比=1377756505102.956 (n=1, S8)
  NG 装備lift:weapon_t2_v1         中央値比=1.166 (n=1, S8)
  OK 装備lift:weapon_t2_v4         中央値比=995017219578.182 (n=1, S2)
  OK 装備lift:weapon_t2_v6         中央値比=1142162.028 (n=1, S4)
  NG 装備lift:shield_t2_v1         中央値比=1.210 (n=3, S9)
  OK 装備lift:shield_t2_v4         中央値比=4998.165 (n=3, S7)
  OK 装備lift:armorTop_t2_v1       中央値比=1.758 (n=6, S9)
  OK 装備lift:armorTop_t2_v4       中央値比=62225.542 (n=7, S9)
  OK 装備lift:armorBottom_t2_v1    中央値比=3939304753067.879 (n=1, S5)
  OK 装備lift:armorBottom_t2_v4    中央値比=1873653174804.425 (n=1, S8)
  OK 装備lift:armorBottom_t2_v6    中央値比=14064502967762.002 (n=2, S8)
  OK 装備lift:armorBottom_t2_v7    中央値比=2.967 (n=1, S2)
  OK 装備lift:hands_t2_v1          中央値比=1142162.028 (n=1, S4)
  OK 装備lift:hands_t2_v6          中央値比=2.842 (n=3, S9)
  OK 装備lift:hat_t2_v1            中央値比=8.492647653627114e+28 (n=1, S3)
  OK 装備lift:hat_t2_v3            中央値比=1.1760784042043764e+29 (n=1, S2)
  OK 装備lift:hat_t2_v6            中央値比=62225.542 (n=3, S8)
  OK 装備lift:hat_t2_v9            中央値比=995017219578.182 (n=1, S2)
  OK 装備lift:shoes_t2_v1          中央値比=535378960742945193984.000 (n=1, S2)
  OK 装備lift:shoes_t2_v6          中央値比=7.274 (n=1, S7)
  OK 装備lift:shoes_t2_v9          中央値比=4998.165 (n=1, S1)
  OK 装備lift:accA_t2_v1           中央値比=1072.938 (n=1, S1)
  OK 装備lift:accA_t2_v4           中央値比=2.842 (n=1, S6)
  OK 装備lift:accA_t2_v7           中央値比=7.274 (n=1, S7)
  OK 装備lift:accB_t2_v1           中央値比=2.054 (n=1, S9)
  OK 装備lift:accB_t2_v6           中央値比=1743897607898148.750 (n=3, S5)
  OK 装備lift:weapon_t3_v1         中央値比=2.306 (n=7, S9)
  OK 装備lift:weapon_t3_v4         中央値比=1072.938 (n=1, S1)
  OK 装備lift:shield_t3_v1         中央値比=497508640901.862 (n=2, S6)
  OK 装備lift:shield_t3_v4         中央値比=936826955668.779 (n=6, S9)
  OK 装備lift:armorTop_t3_v1       中央値比=1969652947614.953 (n=2, S5)
