⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S4 中央値比=507281862.816 (n=8)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=6)
  OK 料理:mintIce               S6 中央値比=1000000000.000 (n=4)
  OK 料理:hunterStew            S4 中央値比=1000000000.000 (n=6)
  OK 料理:frostCake             S5 中央値比=1000000000.000 (n=7)
  OK 料理:stardustParfait       S5 中央値比=1000000000.000 (n=5)
  OK 料理:voidTart              S4 中央値比=169829849.879 (n=2)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S4 中央値比=522501287.127 (n=5)
  OK 注文報酬:materials           S4 中央値比=170404753.781 (n=4)
  OK 注文報酬:boost               S4 中央値比=664629278.374 (n=4)
㉙ 合計 3/3
新装備(a) 装備lift(取得後全周回の中央値比≥1.5・装備は周回跨ぎで永続)
  OK 装備lift:weapon_t1_v1         中央値比=5.326 (n=5, S9)
  OK 装備lift:shield_t1_v1         中央値比=4.427 (n=7, S8)
  OK 装備lift:shield_t1_v6         中央値比=1187026.072 (n=1, S4)
  OK 装備lift:armorTop_t1_v1       中央値比=4.626 (n=9, S9)
  OK 装備lift:armorBottom_t1_v1    中央値比=3.146 (n=7, S9)
  OK 装備lift:armorBottom_t1_v3    中央値比=3.131 (n=2, S6)
  OK 装備lift:armorBottom_t1_v5    中央値比=4998.170 (n=1, S1)
  OK 装備lift:armorBottom_t1_v6    中央値比=254349611215471575040.000 (n=4, S7)
  OK 装備lift:armorBottom_t1_v7    中央値比=121.083 (n=1, S3)
  OK 装備lift:hands_t1_v1          中央値比=6.527 (n=8, S9)
  OK 装備lift:hands_t1_v4          中央値比=16384196512.041 (n=1, S8)
  OK 装備lift:hands_t1_v6          中央値比=4998.170 (n=1, S1)
  OK 装備lift:hat_t1_v1            中央値比=1.651 (n=7, S9)
  OK 装備lift:hat_t1_v2            中央値比=1711.568 (n=1, S5)
  OK 装備lift:hat_t1_v3            中央値比=2.757 (n=4, S7)
  OK 装備lift:hat_t1_v4            中央値比=2.017926028978777e+29 (n=1, S3)
  OK 装備lift:hat_t1_v6            中央値比=2.055 (n=1, S9)
  OK 装備lift:hat_t1_v8            中央値比=2.938 (n=1, S2)
  OK 装備lift:hat_t1_v9            中央値比=121.083 (n=1, S3)
  OK 装備lift:shoes_t1_v1          中央値比=5.326 (n=3, S8)
  OK 装備lift:shoes_t1_v2          中央値比=1187026.072 (n=1, S4)
  OK 装備lift:shoes_t1_v4          中央値比=2.388 (n=1, S6)
  OK 装備lift:shoes_t1_v6          中央値比=16384196512.041 (n=1, S8)
  OK 装備lift:shoes_t1_v9          中央値比=2.938 (n=1, S2)
  OK 装備lift:accA_t1_v1           中央値比=6.527 (n=6, S9)
  OK 装備lift:accA_t1_v3           中央値比=5.027 (n=1, S4)
  OK 装備lift:accA_t1_v7           中央値比=3.146 (n=1, S1)
  OK 装備lift:accB_t1_v1           中央値比=3.339 (n=6, S9)
  OK 装備lift:accB_t1_v2           中央値比=2.938 (n=1, S2)
  NG 装備lift:accB_t1_v3           中央値比=1.236 (n=1, S6)
  OK 装備lift:accB_t1_v7           中央値比=2.369 (n=1, S7)
  OK 装備lift:accB_t1_v8           中央値比=16384196512.041 (n=1, S8)
  OK 装備lift:weapon_t2_v1         中央値比=9531.635 (n=1, S8)
  OK 装備lift:weapon_t2_v4         中央値比=997479079581.727 (n=1, S2)
  OK 装備lift:weapon_t2_v6         中央値比=1187026.072 (n=1, S4)
  OK 装備lift:shield_t2_v1         中央値比=2.339 (n=3, S9)
  OK 装備lift:shield_t2_v4         中央値比=1711.568 (n=3, S7)
  OK 装備lift:armorTop_t2_v1       中央値比=2.364 (n=6, S9)
  OK 装備lift:armorTop_t2_v4       中央値比=59540.253 (n=7, S9)
  OK 装備lift:armorBottom_t2_v1    中央値比=1711.568 (n=1, S5)
  OK 装備lift:armorBottom_t2_v4    中央値比=16193698608433.078 (n=1, S8)
  OK 装備lift:armorBottom_t2_v6    中央値比=12027027771898.871 (n=2, S8)
  OK 装備lift:armorBottom_t2_v7    中央値比=2.938 (n=1, S2)
  OK 装備lift:hands_t2_v1          中央値比=1187026.072 (n=1, S4)
  OK 装備lift:hands_t2_v6          中央値比=2.388 (n=3, S9)
  OK 装備lift:hat_t2_v1            中央値比=8.45285196526062e+28 (n=1, S3)
  OK 装備lift:hat_t2_v3            中央値比=1.2376879155871494e+28 (n=1, S2)
  OK 装備lift:hat_t2_v6            中央値比=59540.253 (n=3, S8)
  OK 装備lift:hat_t2_v9            中央値比=997479079581.727 (n=1, S2)
  OK 装備lift:shoes_t2_v1          中央値比=492608967033964724224.000 (n=1, S2)
  OK 装備lift:shoes_t2_v6          中央値比=7.274 (n=1, S7)
  OK 装備lift:shoes_t2_v9          中央値比=4998.170 (n=1, S1)
  OK 装備lift:accA_t2_v1           中央値比=1072.939 (n=1, S1)
  OK 装備lift:accA_t2_v4           中央値比=2.388 (n=1, S6)
  OK 装備lift:accA_t2_v7           中央値比=7.274 (n=1, S7)
  OK 装備lift:accB_t2_v1           中央値比=2.055 (n=1, S9)
  OK 装備lift:accB_t2_v6           中央値比=1722658246456557.250 (n=3, S5)
  OK 装備lift:weapon_t3_v1         中央値比=2.339 (n=7, S9)
  OK 装備lift:weapon_t3_v4         中央値比=1072.939 (n=1, S1)
  OK 装備lift:shield_t3_v1         中央値比=498739569560.990 (n=2, S6)
  OK 装備lift:shield_t3_v4         中央値比=8096849671463.946 (n=6, S9)
  OK 装備lift:armorTop_t3_v1       中央値比=594368.820 (n=2, S5)
