⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S8 中央値比=500304607.997 (n=10)
  OK 料理:chocoFondant          S14 中央値比=1000000000.000 (n=8)
  OK 料理:mintIce               S10 中央値比=1000000000.000 (n=7)
  OK 料理:hunterStew            S17 中央値比=500004774.090 (n=8)
  OK 料理:frostCake             S8 中央値比=1000000000.000 (n=8)
  OK 料理:stardustParfait       S8 中央値比=1000000000.000 (n=6)
  OK 料理:voidTart              S17 中央値比=1000000000.000 (n=3)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S2 中央値比=1000000000.000 (n=6)
  OK 注文報酬:materials           S14 中央値比=1000000000.000 (n=6)
  OK 注文報酬:boost               S2 中央値比=1000000000.000 (n=5)
㉙ 合計 3/3
新装備(a) 装備lift(取得後全周回の中央値比≥1.5・装備は周回跨ぎで永続)
  OK 装備lift:weapon_t1_v1         中央値比=2928465.497 (n=2, S15)
  OK 装備lift:weapon_t1_v3         中央値比=416.520 (n=2, S4)
  OK 装備lift:weapon_t1_v5         中央値比=4.815 (n=1, S13)
  OK 装備lift:weapon_t1_v8         中央値比=2.114 (n=1, S7)
  OK 装備lift:weapon_t1_v9         中央値比=2795.823 (n=2, S17)
  OK 装備lift:shield_t1_v1         中央値比=3.548 (n=16, S17)
  OK 装備lift:shield_t1_v3         中央値比=3.348 (n=3, S13)
  OK 装備lift:shield_t1_v6         中央値比=653281.503 (n=2, S13)
  OK 装備lift:armorTop_t1_v3       中央値比=2.784 (n=6, S17)
  OK 装備lift:armorTop_t1_v4       中央値比=4.815 (n=1, S13)
  OK 装備lift:armorTop_t1_v5       中央値比=9.969 (n=1, S11)
  OK 装備lift:armorTop_t1_v6       中央値比=1.2545300340825347e+22 (n=1, S3)
  OK 装備lift:armorBottom_t1_v1    中央値比=3.124 (n=24, S17)
  OK 装備lift:armorBottom_t1_v3    中央値比=1.5716132636991206e+41 (n=1, S14)
  OK 装備lift:armorBottom_t1_v4    中央値比=31951.926 (n=2, S13)
  OK 装備lift:armorBottom_t1_v5    中央値比=3641.960 (n=2, S10)
  OK 装備lift:armorBottom_t1_v6    中央値比=4248378191511623168.000 (n=9, S15)
  OK 装備lift:armorBottom_t1_v9    中央値比=2.094319173974537e+21 (n=1, S14)
  OK 装備lift:hands_t1_v1          中央値比=4.254 (n=8, S15)
  NG 装備lift:hands_t1_v2          中央値比=1.363 (n=1, S6)
  OK 装備lift:hands_t1_v3          中央値比=2.114 (n=1, S7)
  OK 装備lift:hands_t1_v4          中央値比=2795.823 (n=2, S17)
  OK 装備lift:hands_t1_v6          中央値比=3641.960 (n=2, S10)
  OK 装備lift:hands_t1_v9          中央値比=4.815 (n=1, S13)
  OK 装備lift:hat_t1_v1            中央値比=2.899 (n=19, S17)
  OK 装備lift:hat_t1_v2            中央値比=1.8062744073155044e+22 (n=2, S14)
  OK 装備lift:hat_t1_v3            中央値比=725578.553 (n=3, S15)
  OK 装備lift:hat_t1_v4            中央値比=1664179774749169.750 (n=3, S10)
  OK 装備lift:hat_t1_v6            中央値比=13225109423399444480.000 (n=1, S9)
  OK 装備lift:hat_t1_v7            中央値比=3.554 (n=5, S17)
  OK 装備lift:hat_t1_v8            中央値比=2.728 (n=1, S2)
  OK 装備lift:shoes_t1_v1          中央値比=12.633 (n=6, S14)
  OK 装備lift:shoes_t1_v2          中央値比=653281.503 (n=2, S13)
  OK 装備lift:shoes_t1_v6          中央値比=2795.823 (n=2, S17)
  OK 装備lift:accA_t1_v1           中央値比=3.168 (n=7, S15)
  OK 装備lift:accA_t1_v4           中央値比=2.094319173974537e+21 (n=1, S14)
  OK 装備lift:accA_t1_v7           中央値比=3.087 (n=6, S17)
  OK 装備lift:accA_t1_v8           中央値比=2.177 (n=3, S4)
  OK 装備lift:accA_t1_v9           中央値比=7071.714 (n=1, S1)
  OK 装備lift:accB_t1_v1           中央値比=3.555 (n=16, S17)
  OK 装備lift:accB_t1_v2           中央値比=2.728 (n=1, S2)
  OK 装備lift:accB_t1_v4           中央値比=4.815 (n=1, S13)
  OK 装備lift:accB_t1_v5           中央値比=2.094319173974537e+21 (n=1, S14)
  OK 装備lift:accB_t1_v6           中央値比=725578.553 (n=1, S15)
  OK 装備lift:accB_t1_v8           中央値比=9.969 (n=3, S17)
  OK 装備lift:weapon_t2_v4         中央値比=1042813526906.015 (n=2, S11)
  OK 装備lift:weapon_t2_v6         中央値比=653281.503 (n=2, S13)
  OK 装備lift:weapon_t2_v9         中央値比=1664179774749169.750 (n=1, S7)
  OK 装備lift:shield_t2_v1         中央値比=3.168 (n=5, S14)
  OK 装備lift:shield_t2_v4         中央値比=6.272650170412674e+21 (n=4, S10)
  OK 装備lift:armorTop_t2_v1       中央値比=3.168 (n=7, S15)
  OK 装備lift:armorTop_t2_v4       中央値比=31980.588 (n=6, S13)
  OK 装備lift:armorTop_t2_v6       中央値比=44.315 (n=1, S11)
  OK 装備lift:armorBottom_t2_v1    中央値比=1.8062744073155044e+22 (n=2, S14)
