⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S9 中央値比=4.271 (n=10)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=10)
  OK 料理:mintIce               S6 中央値比=1000000000.000 (n=9)
  OK 料理:hunterStew            S6 中央値比=1000000000.000 (n=10)
  OK 料理:frostCake             S8 中央値比=1000000000.000 (n=10)
  OK 料理:stardustParfait       S5 中央値比=1058.083 (n=7)
  OK 料理:voidTart              S4 中央値比=1000000000.000 (n=7)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S3 中央値比=1000000000.000 (n=10)
  OK 注文報酬:materials           S3 中央値比=1000000000.000 (n=10)
  OK 注文報酬:boost               S3 中央値比=1000000000.000 (n=10)
㉙ 合計 3/3
新装備(a) 装備lift(枝分かれ・付け替え封止比≥1.5・全周回)
  OK 装備lift:weapon_t1_v1         min比=12.735 (n=9, S9)
  OK 装備lift:shield_t1_v1         min比=85.539 (n=3, S8)
  OK 装備lift:armorTop_t1_v1       min比=1609.511 (n=2, S8)
  OK 装備lift:armorBottom_t1_v1    min比=12.735 (n=9, S9)
  OK 装備lift:hands_t1_v1          min比=12.735 (n=9, S9)
  OK 装備lift:hat_t1_v1            min比=12.735 (n=9, S9)
  OK 装備lift:shoes_t1_v1          min比=12.735 (n=9, S9)
  OK 装備lift:accA_t1_v1           min比=12.735 (n=9, S9)
  OK 装備lift:accB_t1_v1           min比=12.735 (n=9, S9)
  NG 装備lift:weapon_t2_v1         min比=0.949 (n=6, S9)
  NG 装備lift:shield_t2_v1         min比=0.681 (n=9, S9)
  NG 装備lift:armorTop_t2_v1       min比=0.681 (n=9, S9)
  OK 装備lift:armorBottom_t2_v7    min比=2.776 (n=1, S9)
  OK 装備lift:hands_t2_v6          min比=2.776 (n=7, S9)
  OK 装備lift:hands_t2_v7          min比=6846897.547 (n=1, S1)
  OK 装備lift:hands_t2_v9          min比=2798872666994447360.000 (n=1, S3)
  OK 装備lift:hat_t2_v6            min比=8.531 (n=7, S8)
  OK 装備lift:hat_t2_v7            min比=2.776 (n=1, S9)
  OK 装備lift:hat_t2_v9            min比=6469416.781 (n=1, S2)
  OK 装備lift:shoes_t2_v4          min比=2.776 (n=7, S9)
