⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S9 中央値比=6.092 (n=10)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=10)
  OK 料理:mintIce               S6 中央値比=1000000000.000 (n=10)
  OK 料理:hunterStew            S9 中央値比=1.175 (n=10)
  OK 料理:frostCake             S8 中央値比=1000000000.000 (n=9)
  OK 料理:stardustParfait       S8 中央値比=1000000000.000 (n=8)
  OK 料理:voidTart              S9 中央値比=1.080 (n=10)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S6 中央値比=1000000000.000 (n=10)
  OK 注文報酬:materials           S6 中央値比=1000000000.000 (n=10)
  OK 注文報酬:boost               S6 中央値比=1000000000.000 (n=10)
㉙ 合計 3/3
新装備(a) 装備lift(枝分かれ・付け替え封止比≥1.5・全周回)
  OK 装備lift:weapon_t1_v1         min比=50.860 (n=9, S9)
  OK 装備lift:shield_t1_v1         min比=50.860 (n=9, S9)
  OK 装備lift:armorTop_t1_v1       min比=50.860 (n=9, S9)
  OK 装備lift:armorBottom_t1_v1    min比=50.860 (n=9, S9)
  NG 装備lift:armorBottom_t1_v2    min比=0.029 (n=9, S9)
  OK 装備lift:armorBottom_t1_v3    min比=4.410 (n=7, S8)
  OK 装備lift:hands_t1_v1          min比=50.860 (n=9, S9)
  NG 装備lift:hands_t1_v2          min比=0.029 (n=9, S9)
  OK 装備lift:hands_t1_v3          min比=4.410 (n=7, S8)
  OK 装備lift:hands_t1_v6          min比=6641795.293 (n=5, S6)
  OK 装備lift:hat_t1_v1            min比=50.860 (n=9, S9)
  OK 装備lift:hat_t1_v3            min比=4.410 (n=7, S8)
  OK 装備lift:hat_t1_v5            min比=6641795.293 (n=5, S6)
  OK 装備lift:shoes_t1_v3          min比=159.371 (n=2, S9)
  NG 装備lift:shoes_t1_v4          min比=0.029 (n=9, S9)
  OK 装備lift:shoes_t1_v9          min比=50.860 (n=9, S9)
  OK 装備lift:accA_t1_v1           min比=159.371 (n=2, S9)
  NG 装備lift:accA_t1_v3           min比=0.029 (n=9, S9)
  OK 装備lift:accA_t1_v4           min比=6.689 (n=1, S7)
  NG 装備lift:accA_t1_v6           min比=1.006 (n=2, S7)
  OK 装備lift:accA_t1_v9           min比=50.860 (n=9, S9)
  OK 装備lift:accB_t1_v2           min比=50.860 (n=9, S9)
  OK 装備lift:accB_t1_v3           min比=4.410 (n=6, S7)
  OK 装備lift:accB_t1_v4           min比=6.689 (n=1, S7)
  NG 装備lift:accB_t1_v6           min比=1.379 (n=3, S9)
  NG 装備lift:weapon_t2_v1         min比=0.029 (n=9, S9)
  NG 装備lift:weapon_t2_v6         min比=1.006 (n=2, S9)
  NG 装備lift:shield_t2_v1         min比=0.029 (n=9, S9)
  NG 装備lift:armorTop_t2_v1       min比=0.029 (n=9, S9)
  NG 装備lift:armorBottom_t2_v1    min比=1.379 (n=9, S9)
  NG 装備lift:armorBottom_t2_v2    min比=1.006 (n=1, S4)
  OK 装備lift:armorBottom_t2_v3    min比=26271130941440188.000 (n=3, S8)
  NG 装備lift:hands_t2_v1          min比=1.379 (n=4, S9)
  NG 装備lift:hands_t2_v2          min比=1.006 (n=2, S8)
  OK 装備lift:hands_t2_v3          min比=351639378.990 (n=2, S5)
  NG 装備lift:hands_t2_v5          min比=1.000 (n=1, S1)
  OK 装備lift:hands_t2_v6          min比=2.228 (n=5, S6)
  NG 装備lift:hat_t2_v1            min比=1.379 (n=9, S9)
  OK 装備lift:shoes_t2_v3          min比=5.924 (n=3, S9)
  NG 装備lift:shoes_t2_v4          min比=1.396 (n=7, S8)
  OK 装備lift:shoes_t2_v6          min比=71182269471925141504.000 (n=1, S6)
  NG 装備lift:shoes_t2_v9          min比=1.006 (n=1, S4)
