⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S9 中央値比=5.425 (n=10)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=10)
  OK 料理:mintIce               S6 中央値比=1000000000.000 (n=9)
  OK 料理:hunterStew            S6 中央値比=1000000000.000 (n=10)
  OK 料理:frostCake             S1 中央値比=1000000000.000 (n=10)
  OK 料理:stardustParfait       S5 中央値比=500000532.344 (n=8)
  OK 料理:voidTart              S4 中央値比=1000000000.000 (n=7)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S6 中央値比=1000000000.000 (n=10)
  OK 注文報酬:materials           S6 中央値比=1000000000.000 (n=10)
  OK 注文報酬:boost               S6 中央値比=1000000000.000 (n=10)
㉙ 合計 3/3
新装備(a) 装備lift(枝分かれ・付け替え封止比≥1.5・全周回)
  OK 装備lift:weapon_t1_v1         min比=128.804 (n=4, S9)
  OK 装備lift:weapon_t1_v2         min比=71.325 (n=1, S1)
  OK 装備lift:weapon_t1_v3         min比=124.777 (n=1, S2)
  OK 装備lift:weapon_t1_v4         min比=141.671 (n=1, S3)
  OK 装備lift:weapon_t1_v5         min比=188.982 (n=1, S4)
  OK 装備lift:weapon_t1_v6         min比=223.382 (n=1, S5)
  OK 装備lift:shield_t1_v1         min比=128.804 (n=4, S8)
  OK 装備lift:shield_t1_v2         min比=1722.070 (n=1, S9)
  OK 装備lift:shield_t1_v3         min比=71.325 (n=1, S1)
  OK 装備lift:shield_t1_v4         min比=124.777 (n=1, S2)
  OK 装備lift:shield_t1_v5         min比=141.671 (n=1, S3)
  OK 装備lift:shield_t1_v9         min比=141.131 (n=1, S7)
  OK 装備lift:armorTop_t1_v1       min比=124.777 (n=5, S7)
  OK 装備lift:armorTop_t1_v2       min比=480.076 (n=1, S8)
  OK 装備lift:armorTop_t1_v3       min比=1722.070 (n=1, S9)
  OK 装備lift:armorTop_t1_v4       min比=71.325 (n=1, S1)
  OK 装備lift:armorTop_t1_v9       min比=128.804 (n=1, S6)
  OK 装備lift:armorBottom_t1_v1    min比=71.325 (n=4, S9)
  OK 装備lift:armorBottom_t1_v2    min比=141.131 (n=1, S7)
  OK 装備lift:armorBottom_t1_v3    min比=480.076 (n=1, S8)
